,amoxicillin,ampicillin,aztreonam,cefepime,cefotaxime,cefoxitin,ceftazidime,cefuroxime,ciprofloxacin,gentamicin,piperacillin,tobramycin,trimethoprim,sulfamethoxazole
342,1,,,,0,,0,0,0,0,0,,,
343,1,,,,0,,0,0,0,0,,,,
344,1,,,,1,,1,1,1,0,,,,
345,1,,,,0,,0,0,0,0,0,,,
346,1,,,,0,,0,0,0,0,0,,,
347,1,,,,0,,0,0,0,1,1,,,
348,1,,,,0,,0,1,0,0,1,,,
349,1,,,,0,,0,0,1,,1,,,
350,1,,,,0,,0,1,1,0,,,,
351,1,,,,0,,0,0,0,0,0,,,
352,1,,,,0,,0,0,0,0,0,,,
353,1,,,,0,,0,0,0,0,0,,,
354,1,,,,0,,0,0,0,0,0,,,
355,1,,,,0,,0,0,0,0,0,,,
356,1,,,,0,,0,0,0,0,0,,,
357,1,,,,0,,0,0,0,0,0,,,
358,1,,,,1,,1,1,1,0,1,,,
359,1,,,,0,,0,0,1,0,0,,,
360,1,,,,1,,,1,1,0,,,,
361,1,,,,0,,0,0,0,0,1,,,
362,1,,,,1,,1,1,1,1,,,,
363,1,,,,1,,,1,1,0,,,,
364,1,,,,0,,0,0,0,1,0,,,
365,1,,,,1,,,1,1,0,1,,,
366,1,,,,0,,0,0,1,1,0,,,
367,1,,,,1,,,1,1,0,,,,
368,1,,,,0,,0,1,0,0,0,,,
369,1,,,,0,,0,0,0,0,0,,,
370,1,,,,0,,0,0,0,,0,,,
371,1,,,,0,,0,0,0,0,0,,,
372,1,,,,0,,0,0,0,0,0,,,
373,1,,,,0,,0,1,1,0,1,,,
374,1,,,,0,,0,0,0,0,0,,,
375,1,,,,0,,0,0,0,0,0,,,
376,1,,,,0,,0,0,0,0,0,,,
377,1,,,,0,,0,0,1,0,0,,,
378,1,,,,0,,0,0,0,0,0,,,
379,1,,,,0,,0,0,0,0,0,,,
380,1,,,,0,,0,0,0,0,0,,,
381,1,,,,0,,0,0,1,1,1,,,
382,1,,,,0,,0,0,0,0,0,,,
383,1,,,,0,,0,0,1,0,0,,,
384,1,,,,0,,0,0,0,0,1,,,
385,1,,,,0,,0,0,0,0,0,,,
386,1,,,,0,,0,0,0,0,0,,,
387,1,,,,0,,0,0,1,1,0,,,
388,1,,,,1,,1,1,1,0,0,,,
389,1,,,,1,,1,1,1,1,0,,,
390,1,,,,0,,0,0,0,0,0,,,
391,1,,,,1,,1,1,1,1,,,,
392,1,,,,0,,0,0,0,0,0,,,
393,1,,,,0,,0,0,0,0,0,,,
394,1,,,,0,,0,0,0,0,0,,,
395,1,,,,0,,0,1,1,0,0,,,
396,1,,,,0,,0,0,0,0,0,,,
397,1,,,,1,,1,1,1,0,1,,,
398,1,,,,0,,0,0,0,0,0,,,
399,1,,,,0,,0,0,0,0,0,,,
400,1,,,,1,,,1,1,0,,,,
401,1,,,,0,,0,0,0,0,0,,,
